web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583619929-2825","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-07-01%20until%3A2019-08-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","مدير عام #تعليم_الشرقية يشيد بجهود المملكة في خدمة ضيوف الرحمن ، داعيًا الله أن يحفظهارمزًا للأمان والشموخ  .
#الحج_1440
 @moe_gov_sa pic.twitter.com/64LdrA2fw8","13","64","46","1565294009000","12:53 PM - 8 Aug 2019","/edueast_sa/status/1159553234580754433"
"1583619929-2770","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-07-01%20until%3A2019-08-31&src=typd&lang=en","@halkadi","حمد القاضي","تدريس المعلمات للصفوف الأولية أفضل فالمعلمات الأفهم للأطفال 
الخطوة أقرها الشيخ ناصر الراشد الرئيس الأسبق لتعليم البنات رحمه الله قبل44عاما لكن!وطبّقهاد.حمد آل الشيخ وزير التعليم بعد قرار مجلس  الوزراء 
تفاصيل بمقالي الخميس القادم بالجزيرة      
#دمج_الصفوف_الأوليه
@moe_gov_sa pic.twitter.com/klRA8n18lt","145","80","116","1566227079000","8:04 AM - 19 Aug 2019","/halkadi/status/1163466815428878336"
"1583619929-2824","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-07-01%20until%3A2019-08-31&src=typd&lang=en","@niepd_edu","المعهد الوطني للتطوير المهني التعليمي","الأستاذة وصايف القحطاني
من إدارة تعليم عسير  @assiredu 
إحدى المتدربات في برنامج أساسيات اللغة الصينية 
تشارككم تجربتها باللغة الصينية

#التدريب_الصيفي 

@TCCS_AOU 
@moe_gov_sa pic.twitter.com/dquRzPgEpA","11","29","52","1565294527000","1:02 PM - 8 Aug 2019","/niepd_edu/status/1159555409876856838"
"1583619929-3171","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-07-01%20until%3A2019-08-31&src=typd&lang=en","@amal18044120","أمل الحارثي","انا تعينت في نجران","","","1","1561939369000","5:02 PM - 30 Jun 2019","/amal18044120/status/1145482855738413056"
"1583619929-2812","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-07-01%20until%3A2019-08-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","أسرة #تعليم_الشرقية تهنئكم بحلول #عيد_الأضحى_المبارك فكل عام وأنتم بخير وأعاده الله علينا وعليكم باليمن والخير والمسرات. حفظ الله وطننا الغالي في ظل والدنا #خادم_الحرمين_الشريفين_وولي_عهده_الأمين وقد تحقق لنا مانصبو إليه من مجدٍ وسؤدد وتقدّمٍ وازدهار .
#الحج_1440
 @moe_gov_sa pic.twitter.com/YU9OLzFD9H","19","57","52","1565502703000","10:51 PM - 10 Aug 2019","/edueast_sa/status/1160428561913847808"
"1583619929-2784","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-07-01%20until%3A2019-08-31&src=typd&lang=en","@e3lam_trbwe","الإعلام والاتصال_القريات","#تعليم_القريات
استقبل #مركز_رعاية_المستفيدين بإدارة تعليم القريات (بنات) منسوبات الإدارة بباقات من الزهور المحملة بعبارات التهنئة بمناسبة عيد الأضحى والعام الدراسي الجديد ١٤٤١/١٤٤٠هـ ،كان ذلك بإشراف أ. العنود البلوي وفريق العمل.
@moe_gov_sa 
@guriatedu_gov 
@DR_M_Althobaitpic.twitter.com/Cfm6Tu6bWk","","22","13","1566113534000","12:32 AM - 18 Aug 2019","/e3lam_trbwe/status/1162990574435258368"
"1583619929-2704","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-07-01%20until%3A2019-08-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","لم يتم إلغاء أو إيقاف جميع مدارس البنين في المملكة وستعمل وفق الطريقة الاعتيادية، ولذلك يحق لولي الأمر تدريس ابنه في مدارس البنين دون إلحاقه في مدارس الطفولة المبكرة وهي مسألة اختيارية للجميع واختيار تعليمي أفضل أمام أولياء الأمور.","78","441","262","1566663618000","9:20 AM - 24 Aug 2019","/moe_gov_sa/status/1165297793063432193"
"1583619929-2740","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-07-01%20until%3A2019-08-31&src=typd&lang=en","@qunedu","تعليم القنفذة","سعادة مدير التعليم الدكتور محمد الزاحمي في كلمة توجيهية وإضاءات تربوية ومعاني وطنية يوجهها للمعلمات المعينات حديثاً بـ #تعليم_القنفذة
@moe_gov_sa
 @Media_M_Epic.twitter.com/mOkxD3FAnk","6","88","80","1566414492000","12:08 PM - 21 Aug 2019","/qunedu/status/1164252881928818689"
"1583619929-2669","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-07-01%20until%3A2019-08-31&src=typd&lang=en","@MicrosoftEDU","Microsoft Education","Congratulations!","","","","1566835956000","9:12 AM - 26 Aug 2019","/MicrosoftEDU/status/1166020631810363392"
"1583619929-2616","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-07-01%20until%3A2019-08-31&src=typd&lang=en","@EtecKsa","هيئة تقويم التعليم والتدريب","مشاركة معالي رئيس #هيئة_تقويم_التعليم_والتدريب في حفل تدشين مدارس #الطفولة_المبكرة الذي تُنظمه #وزارة_التعليم تحت رعاية كريمة من صاحب السمو الملكي الأمير فيصل بن بندر أمير منطقة الرياض.
@moe_gov_sa pic.twitter.com/vJljbNnvza","6","23","30","1567087887000","7:11 AM - 29 Aug 2019","/EtecKsa/status/1167077307112185856"
