web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583618751-1589","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#فيديو |
بالشراكة بين #وزارة_التعليم و #وزارة_الاتصالات وتقنية المعلومات تم اليوم تدشين التصفيات التأهيلية لأولمبياد الروبوت العالمي #WROSAUDI سعياً نحو ايجاد بيئة تعليمية محفزة للابداع والابتكار.
#Thinktechpic.twitter.com/4f8iJuHq75","21","237","209","1555610282000","10:58 AM - 18 Apr 2019","/moe_gov_sa/status/1118936740880887808"
"1583618751-1722","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@shaqraedu","تعليم شقراء","اليوم ١٤٤٠/٨/٤هـ هو الموعد الأهم..
سيتم تطبيق اختبارات #TIMSS_KSA 
وتهــدف إلى تقييــم الأنظمة التعليميـة والتربويـة وقيــاس مســتويات الأداء والتحصيــل في الرياضيــات والعلــوم لطلاب الرابع الابتدائي والثاني متوسط.
#تعليم_شقراء @moe_gov_sa pic.twitter.com/KldGd4aH9W","","27","5","1554782059000","8:54 PM - 8 Apr 2019","/shaqraedu/status/1115462921386168320"
"1583618751-1511","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@allith_edu","إدارة تعليم الليث","| تعتبر أنظمة الوثائق الرسمية وسجلاتها من أهم الأنظمة في أي مؤسسة، وهنا يتميز #نظام_نور فيما يقدمه من سهولة وسرعة لطالبي الخدمة حتى في أقصى أوقات الذروة.

•مدير التعليم | 
د.زكي بن رزيق الحازمي .

#تعليم_الليثpic.twitter.com/g2j5eDrViC","","8","13","1556142819000","2:53 PM - 24 Apr 2019","/allith_edu/status/1121170362027343872"
"1583618751-1596","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@guriatedu_gov","إدارة تعليم القريات","#شكرا_حمد_آل_الشيخ 
#تعليم_القريات
@minister_moe_sa @moe_gov_sa @Media_M_Epic.twitter.com/lrZQ8bpvcH","8","17","16","1555585564000","4:06 AM - 18 Apr 2019","/guriatedu_gov/status/1118833066657615872"
"1583618751-1503","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@Moh_S_Jaber","Mohammed BinAliGaber","@MOETawas for your information","","","","1556193393000","4:56 AM - 25 Apr 2019","/Moh_S_Jaber/status/1121382486704054285"
"1583618751-1622","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@makkah_edu","إدارة تعليم مكة","تكريماً وتقديراً لهم على فوزهم بلقب البطولة الوطنية الثقافية الكبرى #فرسان_التعليم 
متوسطة يزيد بن الأخنس السلمي بمكتب #الكامل بـ #تعليم_مكة تُسمي  لجان الاختبارات بأسماء الطلاب المشاركين في المسابقة 
@moe_gov_sa @minister_moe_sa @makkahregion 
@iEN_tvpic.twitter.com/qOUSXZYKCB","6","26","34","1555492830000","2:20 AM - 17 Apr 2019","/makkah_edu/status/1118444112418672641"
"1583618751-1973","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@McitGovSa","وزارة الاتصالات وتقنية المعلومات","من منطلق وحدة الرؤى والتعاون المشترك بين @McitGovSa و@moe_gov_sa تقام اليوم ورشة عمل بعنوان ""استقطاب الخريجين من برنامج الابتعاث الخارجي"" ، هادفةً إلى توظيف القوى الرقمية الوطنية والاستفادة من قدراتها في المجال التقني.
#وطن_طموح_وطن_رقميpic.twitter.com/BlrnY4R9TO","4","28","31","1552491040000","8:30 AM - 13 Mar 2019","/McitGovSa/status/1105853693482725378"
"1583618751-2048","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","انتصارات سعودية في #البطولة_العربية_المدرسية في #القاهرة
@sssf_edu
https://www.moe.gov.sa/ar/news/Pages/m-c-12457.aspx …pic.twitter.com/TA5qIy3TQ0","10","100","89","1551964767000","5:19 AM - 7 Mar 2019","/moe_gov_sa/status/1103646341421584385"
"1583618751-1753","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","دون أن يكون لها أي تأثير على نتيجة الطلبة..
#وزارة_التعليم تتجه لتطبيق #الاختبارات_المركزية على طلابها لتقديم مؤشرات علمية وموضوعية حول تمكنهم من المهارات الأساسية ولقياس جودة التعليم
https://www.moe.gov.sa/ar/news/Pages/c-t-2019-2.aspx …pic.twitter.com/jOQ2lYoO6J","466","1.6K","1.1K","1554566330000","8:58 AM - 6 Apr 2019","/moe_gov_sa/status/1114558087950741504"
"1583618751-1721","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@shaqraedu","تعليم شقراء","نتائج اختبارات #TIMSS_KSA أحـد مؤشـرات رؤيـة 2030, حيث أنها مؤشــر مهم لجــودة التعليــم وذات مصداقيــة عاليــة في تقويــم واقــعه.
@moe_gov_sa #تعليم_شقراءpic.twitter.com/0CPR8asYMx","","23","4","1554782671000","","/shaqraedu/status/1115465486827962369"
"1583618751-1687","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@BusinessSweME","Business Sweden ME","Swedish healthcare continues to support Saudi Arabia  in realising Vision 2030; today @SkaneCare signed an extension of their collaboration within specialist education for healthcare professionals together with H.E. Dr. Hamad Al-Sheikh @moe_gov_sa pic.twitter.com/gQ95RT03Y1","1","18","27","1554993259000","7:34 AM - 11 Apr 2019","/BusinessSweME/status/1116348756809723906"
"1583618751-2021","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@mahdedu","إدارة تعليم المهد","#مدير_التعليم يفتتح البرنامج التدريبي 
"" القيادات المؤسسية "" للقيادات التعليمية والإدارية ، للمدرب أ : حامد العلوني 
@moe_gov_sa pic.twitter.com/VUxXrZbhMS","","11","9","1552200201000","10:43 PM - 9 Mar 2019","/mahdedu/status/1104633824133214209"
"1583618751-1746","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@haroobedu","مكتب تعليم هروب","#مكتب_تعليم_هروب يبارك
للوفد المدرسي السعودي المشارك في مهرجان تونس العالمي للمسرح المدرسي الذي حقق الجائزة الفنية الكبرى عن #مسرحية_شرود وكذلك الجائزة الفنية الكبرى لأفضل مخرج إبراهيم الفراج وأفضل ممثل للطالب صالح الدامغ.
@moe_gov_sa 
@Media_M_E 
@sabyaedupic.twitter.com/WznEnSvool","","10","11","1554585400000","2:16 PM - 6 Apr 2019","/haroobedu/status/1114638075961978881"
"1583618751-1971","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@scchool14","‏الابتدائية(14)والروضة (2)/. ب (4)لتعليم الكبار","تعلن ⁧#الابتدائيـ١٤ـة_الروضـ٢ـة
عن تغير وقت الدوام إعتباراً من يوم 
الأحد الموافق  ١٠  رجب  ١٤٤٠ هـ
 الإصطفاف الصباحي ٧:٤٥ص
 بداية الحصة الأولى ٨:٠٠ ص
مع تمنياتنا للجميع بالتوفيق""
القائدة التربوية/ثريا العطية.
@e3lam_trbwe @moe_gov_sa 
@guriatedu_gov @Media_M_Epic.twitter.com/qM9Gaeh80y","1","12","13","1552493495000","9:11 AM - 13 Mar 2019","/scchool14/status/1105863987420450816"
