web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583619461-2205","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@seeeee05244632","تجمع كليات التربيه","الحصر والتوظيف لجميع خريجات كليه التربيه  بدون شروط،،
لايقارن اجتياز عملي تحت اشراف مشرفات من الوزاره بإجتياز ورقي محدد بوقت معين
تربويات ذات مؤهلات عاليه ينتظرون الفرج
@KingSalman

@Badermasaker
 
@minister_moe_sa
 
@moe_gov_sa
 #خريجات_التربيه_في_طي_النسيان2","3","97","49","1560967605000","11:06 AM - 19 Jun 2019","/seeeee05244632/status/1141406982617948171"
"1583619461-2309","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@rhv_117","rhv","really !!!!","","","","1560447013000","10:30 AM - 13 Jun 2019","/rhv_117/status/1139223461396717568"
"1583619461-2196","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@kho12ao","د. خميني الاخوان","اتمنى من وزارة التعليم إعادة النظر في محتويات كتب التاريخ وخصوصاً حقبة الدولة العثمانية وجرائمها في الجزيرة العربية ..
 @moe_gov_sa 

@minister_moe_sa 

#ضرورة_مراجعة_مادة_التاريخ","12","239","182","1561079675000","6:14 PM - 20 Jun 2019","/kho12ao/status/1141877038464327680"
"1583619461-2358","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@qeran21","د. أحمد قران","رحم الله فقيدنا الأستاذ #عبدالله_الثقفي وأسكنه دار الأبرار ورزقه الفردوس الأعلى منها، نعم الأب والمربي، ونعم الأخ والصديق.
لم نعهد عليه إلا الخير، ولم نر منه إلا الخير...
فنسأل الله أن يعظم له الأجر والمثوبة، ويرفع قدره في عليين، مع الشهداء والصالحين..
إنا لله وإنا إليه راجعون","2","24","43","1560097454000","9:24 AM - 9 Jun 2019","/qeran21/status/1137757304026259462"
"1583619461-2449","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@7riri24","محمد بن راشد الحريري","التهميش مستمر لصعوبات التعلم .. العاطلين فوق 7000 وعدد الاحتياج 59 .. الى متى وما احد يعبر العاطلين ويقف معهم 7 سنوات انتظار وكل سنه نقول السنه الجايه خير .. ولا حياة لمن تنااادي ... حسبنا الله ونعم الوكيل","8","46","40","1558227303000","5:55 PM - 18 May 2019","/7riri24/status/1129913320989974528"
"1583619461-2327","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@0education0","المختصر التعليمي 🇸🇦","الأسماء التي ستدعى للمطابقة ستكون عبر رابط يغرد به الاستاذ مبارك العصيمي 
@mualosaimi 
أو حساب وزارة التعليم
@moe_gov_sa 

 لا تعتمد على الأسماء الموجودة في رابط آخر لم يعلن عنه في حسابات الوزارة لأنه ربما تكون الأسماء فيه غير مكتملة و ناقصة .

#الوظائف_التعليمية","1","13","39","1560428661000","5:24 AM - 13 Jun 2019","/0education0/status/1139146485898121217"
"1583619461-2271","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@abn_mejdal","محمد القحطاني","شكرا لمعالي #وزير_التعليم على كل الجهود المتميزة في هيكلة الوزارة ودليلها التنظيمي التي من شأنها تجويد  سير العمل وتحسين مخرجات التعلم ورفع المستوى التحصيلي لأبنائنا الطلاب وبناتنا الطالبات.","","18","11","1560519655000","6:40 AM - 14 Jun 2019","/abn_mejdal/status/1139528145143508993"
"1583619461-2401","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزير_التعليم لمديري التعليم المكلفين والمجدد تكليفهم والمنقولين: ""أنتم أمام مرحلةٍ جديدةٍ لصناعة الفارق""
https://www.moe.gov.sa/ar/news/Pages/w-2019-524.aspx …pic.twitter.com/9OFAcHygj2","111","625","497","1559062029000","9:47 AM - 28 May 2019","/moe_gov_sa/status/1133414417230716928"
"1583619461-2529","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@OKAZ_online","صحيفة عكاظ","#هيا_العواد: تنسيق بين «#التعليم» و«#العدل» لتنفيذ برامج لتثقيف النساء بحقوقهن الشرعية والقانونية
#عكاظ
@moe_gov_sa 
@MojKsahttp://bit.ly/2VMIXqe","10","23","27","1557046339000","1:52 AM - 5 May 2019","/OKAZ_online/status/1124960000705740806"
"1583619461-2164","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#صور |
#وزير_التعليم يزور #منطقة_جازانpic.twitter.com/wIkQxmT0al","6","76","71","1561387771000","","/moe_gov_sa/status/1143169284656574464"
"1583619461-2151","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","تحت رعاية سمو أمير المنطقة الشرقية #وزير_التعليم يشارك في حفل تدشين المشاريع التنموية في محافظة #حفر_الباطن ويشهد توقيع عددٍ من الاتفاقيات التي وقعتها الجامعة وإدارة التعليم مع قطاعات حكومية وغير حكومية.pic.twitter.com/C7RJAHKjk7","40","121","114","1561580691000","1:24 PM - 26 Jun 2019","/moe_gov_sa/status/1143978453215129606"
"1583619461-2286","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@SuO8Cnfzz9Dlgva","مهندس","ليه المهندسين حظهم مايل وطايح ، حتى في الترشيح يرشحوا لوظائفهم ٣ على كل وظيفة وراتب ادنى من غيرهم
ومالهم سلم ليه ليه ؟!
#الكادر_الهندسي
@atalla3 @SaudiMCS","4","8","5","1560453754000","12:22 PM - 13 Jun 2019","/SuO8Cnfzz9Dlgva/status/1139251736621834241"
"1583619461-2399","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@Alsharif_Samaa","سماء سرور الشريف","التعليم في فترة أفرز كثيرا من العقول التي نعرف 
حرروا التعليم وأطلقوه كطائر يحتوي عقول الشباب ويتفق وعصرهم ومستقبلهم المأمول 

اجعلوا التعليم يواكب رؤية ٢٠٣٠ واقعا وليس على الورق","","10","6","1559072536000","12:42 PM - 28 May 2019","/Alsharif_Samaa/status/1133458484723429376"
"1583619461-2212","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-05-01%20until%3A2019-06-30&src=typd&lang=en","@Umlij1450","قسم الشؤون التعليمية للبنات بمحافظة أملج","#وزير_التعليم_في_تبوك
بكل مشاعرالفرح والسرور ترحب الأسرة التعليمية بقسم الشؤون التعليمية للبنات بمحافظة أملج بمعالي وزير التعليم
 د. حمد بن محمد آل الشيخ في زيارته لمنطقة تبوك@nawalsanyour @oihm1 @Media_M_E @tabuk_edu @moe_gov_sa pic.twitter.com/ipwedgPHZH","","5","8","1560875178000","9:26 AM - 18 Jun 2019","/Umlij1450/status/1141019314818097155"
