web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583621146-4651","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#فيديو |
برعاية #نائب_وزير_التعليم... انطلاق الجولة النهائية للمسابقة الوطنية للبرمجة ⁧#المبرمج_الواعد⁩.pic.twitter.com/rTCMujtp3o","30","486","355","1575822203000","8:23 AM - 8 Dec 2019","/moe_gov_sa/status/1203711681060331522"
"1583621146-4454","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@Waleed54065986","Waleed","Prof as usual","","","","1576826622000","11:23 PM - 19 Dec 2019","/Waleed54065986/status/1207924522575417344"
"1583621146-4706","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@ali_s_mk","متحف قديم التعليم","انطباع اخوة من الصين بعد زيارتهم للمتحف 
اول متحف على مستوى العالم يقيمة مواطن سعودي. متخصص بتراث التعليم 
#متحف_قديم_التعليم 
@scthKSA @MOCSaudi @moe_gov_sa @minister_moe_sa @halkadipic.twitter.com/VdA5bVHCOY","1","12","13","1575471817000","7:03 AM - 4 Dec 2019","/ali_s_mk/status/1202242056317521921"
"1583621146-4562","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","مدير مكتب التعليم بمحافظة الجبيل معمر الزهراني يدشن المعرض الفني الدائم بمدرسة تحفيظ القرآن الكريم، يهدف المعرض إلى كتشاف مواهب الطلاب وتشجيعها، حضر التدشين المساعدللشؤون التعليمية و مشرف القيادة المدرسية بالمكتب.
 #تعليم_الشرقية 
@moe_gov_sa
@Media_M_Epic.twitter.com/RlqVI1OacH","6","20","13","1576436192000","10:56 AM - 15 Dec 2019","/edueast_sa/status/1206286938417901577"
"1583621146-5174","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#فيديو |
مبادرة #ارتقاء.. تعاون بين الأسرة والمدرسة ينعكس إيجابياً على الطفل والطفلة.pic.twitter.com/IQ3mhxCjOs","60","910","645","1573020797000","10:13 PM - 5 Nov 2019","/moe_gov_sa/status/1191961735424544770"
"1583621146-4489","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@Asd171380","د صالح البقعاوي","نعم متى ؟
والأمل بالله سبحانه وتعالى ثم ولاة الامر","1","31","18","1576682201000","7:16 AM - 18 Dec 2019","/Asd171380/status/1207318773621022720"
"1583621146-4846","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@al7anooti","Mohammed A","she's not even from our country","1","","","1574724982000","3:36 PM - 25 Nov 2019","/al7anooti/status/1199109601460920320"
"1583621146-4769","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@nadiumluj2030","نادي الحي بمدرسة ب6 بأملج _تبوك","بمناسبة الذكرى الخامسة لبيعة خادم الحرمين الشريفين حفظه الله وولي عهده
نشرف بتدوين مشاعركم الوطنية على الحائط الألكتروني @moe_gov_sa
@tabuk_edu
@Media_M_E
@huda_abdullah99
@alkuair @xpasd2  
@nsclubs
@nc3clubs 
@nc3tabukhttps://padlet.com/amany_1408/2wr66tk30vj7 …","","9","10","1575174137000","8:22 PM - 30 Nov 2019","/nadiumluj2030/status/1200993494300602369"
"1583621146-4593","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","#التعليم_يجدد_البيعة
منسوبات #تعليم_الشرقية بقيادة المساعد للشؤون التعليمية أ. فاطمة الفهيد يحتفين بمناسبة #ذكرى_البيعة_الخامسة ل
#خادم_الحرمين_الشريفين
ويجددن العهد والوعد والولاء والوفاء وصدق الانتماء لوالدنا #الملك_سلمان_بن_عبدالعزيز
ولهذا الوطن العظيم
@moe_gov_sa
@Media_M_Epic.twitter.com/HZAnvXjpuO","","19","20","1576161116000","6:31 AM - 12 Dec 2019","/edueast_sa/status/1205133187795566592"
"1583621146-4518","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@naash2901","ابتدائية ومتوسطة نعاش - بنين","اعتمد قائد ابتدائية ومتوسطة نعاش أ.محمد عبدالله الزهراني جدول اختبارات نهاية الفصل الدراسي الأول لعام 1440-1441هـ للصف الثالث الابتدائي والصفوف العليا 
مع دعائنا لأبناء الطلاب بالتوفيق والنجاح
@bahaedu @moe_gov_sa pic.twitter.com/xgcwjiJMLo","2","4","10","1576562254000","9:57 PM - 16 Dec 2019","/naash2901/status/1206815682039554048"
