web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583620629-4109","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","#اليوم_العالمي_لمحو_الأمية
#تعليم_الشرقية
بمحو الأمية تنمو الأمم، ويزدهر العطاء 

@Media_M_E
 @moe_gov_sa
. pic.twitter.com/fWKJcfbUrC","45","171","142","1567860271000","5:44 AM - 7 Sep 2019","/edueast_sa/status/1170316920370999302"
"1583620629-3184","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@17SCHOOL17","الابتدائيه ال ١٧","#السلوك_الإيجابي 
#الملف_الإعلامي_بوزارة_التعليم
@q_teacher @e3lam_trbwe 
@guriatedu_gov
@DR_M_Althobait
  @Media_M_E 
@moe_gov_sa 
@Mno3634
بمبادرةمن القائدة؛منى المعثم٠ودعم من الأستاذة:زينه الشراري.ومشاركةام الطالبة؛زينه عبدالله تم تنفيذ برنامج الام الزائره. بوركت جهودكم pic.twitter.com/vdF8YVdCIx","2","7","3","1572463913000","","/17SCHOOL17/status/1189625990726737922"
"1583620629-3223","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@TETCOSA","تطوير لتقنيات التعليم | TETCO","أبرز اهداف المسابقة:
السعي لتنفيذ رؤيتنا الطموحة، وغرس روح المنافسة في التعليم. شارك معنا واحصل على فرصة للفوز بجوائز قيمة!
⁦
@moe_gov_sa
⁩
@McitGovSa
سجل الان.
#المبرمج_الواعد
(يفضل مساعدة أولياء الأمور )
https://ncc.tetco.sa pic.twitter.com/1203PVYaGu","1","20","21","1572254107000","2:15 AM - 28 Oct 2019","/TETCOSA/status/1188746003064741891"
"1583620629-3481","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@alsaad_2030","🇸🇦عبدالرحمن السعد  🇸🇦","الإختلاط محرم
وداع من دواعي الزنا وسبب من أسباب الفساد!
معالي #وزير_التعليم هذا ما يقوله #المنهج الدراسي
ولكن الواقع يخالفه ويعارضه
هي واحدة من اثنتين
المنهج خطأ فصححوه
الواقع خطأ فأصلحوه
وكفى ازدواجية وإضاعة لهوية الجيل بين ما يدرسونه ويشاهدونه
وإلا فقل عليهم السلام
@moe_gov_sa pic.twitter.com/LPS1MzBwIo","187","714","593","1570604259000","11:57 PM - 8 Oct 2019","/alsaad_2030/status/1181826036792791043"
"1583620629-4083","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@wp2JdAiZmrtZA2f","غيمه 🌨 🌨 عتيبه","#وظايف_شاغره
#تنفيذ_توصيه_كليات_التربيه٨١٤ 

 معقوله وصل التاق إلى هالرقم ٨١٤ 

    أين أنتم ياوزراء  !! @minister_moe_sa
  أين أنتم يامسوؤلين  !!
 @moe_gov_sa
 
  هل  ... يوجد  ... أحد pic.twitter.com/Em5l1sAvIa","23","69","43","1567970290000","12:18 PM - 8 Sep 2019","/wp2JdAiZmrtZA2f/status/1170778371846037511"
"1583620629-3246","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@aburasha58","محمد أحمد الألمعي","#وزارة_التعليم
خدمتان في #نظام_فارس ينبغي تصحيحهما حفظًا لحقوق الموظف:

فصل رصيد ""الإجازة المرضية"" عن رصيد ""إجازة مرافقة مريض""

الرصيد التراكمي للإجازة الاعتيادية:
هو ما قبل 3-7-1439 حسب قرار مجلس الوزراء رقم 350 وليس ما قبل 1-1-1438

@minister_moe_sa
@moe_gov_sa
@spokesp_moepic.twitter.com/a97PCnLjD9","11","45","86","1572082436000","2:33 AM - 26 Oct 2019","/aburasha58/status/1188025960823689216"
"1583620629-3853","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@TmoeRiyadh","إدارة تجهيزات الرياض","#همة_التعليم_قمة_للوطن
@riyadh_edu 
@moe_gov_sa pic.twitter.com/qpnjZn7Ntk","2","27","15","1569004137000","11:28 AM - 20 Sep 2019","/TmoeRiyadh/status/1175114641913069569"
"1583620629-3201","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@tqmriyadh","إدارة الجودة وقياس الأداء","@riyadh_edu @moe_gov_sa امتدادا للبرامج الإثرائية التي تقيمها الإدارة عقد لقاء(مفاهيم وتطبيقات قياس الأداء في التعليم ) تقديم أ.د.محمد حسن من عمادة @DOD_KSU وبإستضافة كريمة من مدارس @smart_schooll وبحضور مدير ومشرفي ومشرفات الإدارة..شكرا لشركاء النجاح ..pic.twitter.com/VoS7qtoUfs","1","5","9","1572352361000","5:32 AM - 29 Oct 2019","/tqmriyadh/status/1189158109488582656"
"1583620629-3554","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@ahmadfarraj522","احمد فراج","#صباح_الخير #يحدث_الآن 
 #وزير_التعليم_في_عكاظ :
رفعنا سقف #راوتب_المعلمين وواجهنا ممانعة لايقاف مراجعات المناهج وسنقضي على تعارض المصالح 
#يوم_المعلم_العالمي @minister_moe_sa 
#وزارة_التعليم @moe_gov_sa pic.twitter.com/yLqUgSUyNR","16","29","26","1570349092000","1:04 AM - 6 Oct 2019","/ahmadfarraj522/status/1180755790946344960"
"1583620629-3827","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#مساعد_وزير_التعليم: #اليوم_الوطني ""أيقونة"" مضيئة لمنجزات متواصلة ورؤية طموحة
#همة_التعليم_قمة_للوطن
#همة_حتى_القمة
https://www.moe.gov.sa/ar/news/Pages/s-1441-523.aspx …pic.twitter.com/bzZGMO7oGA","43","1.1K","582","1569154352000","5:12 AM - 22 Sep 2019","/moe_gov_sa/status/1175744686113329152"
"1583620629-3852","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@murshidia37","ثانوية المرشدية بنات ✨","Warmest congratulations for Saudi National Day, and our wishes for continued stability, prosperity and leadership.

#89_saudi_national_day
@tatweer222
@t4edu
@SchoolsDevelop
@makkah_edu
@minister_moe_sa
@moe_gov_sa
@Media_M_Epic.twitter.com/3lOWrqI0ea","","1","2","1569063411000","3:56 AM - 21 Sep 2019","/murshidia37/status/1175363252731166720"
