web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583861089-6258","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","وزيرا التعليم والاتصالات يناقشان التجهيزات التقنية لـ ""التعليم عن بُعد""
https://www.moe.gov.sa/ar/news/Pages/t-m-2020-44.aspx …pic.twitter.com/LsOFzmUDNP","129","829","603","1583764377000","7:32 AM - 9 Mar 2020","/moe_gov_sa/status/1237023572738146304"
"1583861089-6479","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@Maha62503280","Maha","تخصص الانجليزي من اهم التخصصات المطلوبه لمواكبة التطور نطالب بزيادة الاحتياج @minister_moe_sa @moe_gov_sa #زياده_احتياج_الانجليزي4","","3","1","1583071621000","6:07 AM - 1 Mar 2020","/Maha62503280/status/1234117943719604229"
"1583861089-6286","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@Iqra40350775","Iqra","We want holidays in riyadh also","","","6","1583614282000","12:51 PM - 7 Mar 2020","/Iqra40350775/status/1236394030101135366"
"1583861089-6399","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@35Laila","shfd","مستوى النظافة في المدارس سيء جداً","1","8","18","1583251873000","8:11 AM - 3 Mar 2020","/35Laila/status/1234873975093841920"
"1583861089-6313","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@ThekraMousa1","ThekraMousa","Good luck for all students","","","","1583487583000","1:39 AM - 6 Mar 2020","/ThekraMousa1/status/1235862613872881664"
"1583861089-6332","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@a__m176","منّالل ✨","#اصوات_كليات_التربيه_تنادي

يارب مكرمـــة ملكـــية
أســـوة بأخواتــنـا خريجات الكليـات المتوسطــة والمعاهـدوالبديلات

@HamadMAlSheikh 
@Badermasaker 
@minister_moe_sa 
@kbsalsaud 
@Khalid_M_AlSaud 
@moe_gov_sa 
@KingSalman 
@MOFKSA 
@SaudiMCS 
@spokesp_moepic.twitter.com/g9SSQQ0vp5","","48","19","1583331284000","6:14 AM - 4 Mar 2020","/a__m176/status/1235207052307427328"
"1583861089-6299","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@Bin_Dabhan","ابو تميم","It can be seen that the teacher themselves have the opportunity to creat their curriculums. Also their students move on depending on their age not their abilities.pic.twitter.com/lx9qA6vKzF","","","1","1583520112000","10:41 AM - 6 Mar 2020","/Bin_Dabhan/status/1235999053999112192"
"1583861089-6401","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@AbdalMajeed_cr7","عبدالمجيد¹³","pic.twitter.com/1ipKN3INZC","1","","","1583170574000","9:36 AM - 2 Mar 2020","/AbdalMajeed_cr7/status/1234532984847503360"
"1583861089-6368","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزارة_التعليم تناقش تقارير منظمة (OECD) للنظام التعليمي في المملكة
https://www.moe.gov.sa/ar/news/Pages/t367-2020-9.aspx …pic.twitter.com/UC99oIz2I6","18","214","198","1583250829000","7:53 AM - 3 Mar 2020","/moe_gov_sa/status/1234869596391444482"
"1583861089-6400","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@kDeTCNAlnsYJkjT","مدرسة الخفيفيه للبنات","pic.twitter.com/V9tCbE33Eh","","","","1583225053000","12:44 AM - 3 Mar 2020","/kDeTCNAlnsYJkjT/status/1234761486045675520"
