web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583860419-5777","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@SecondSchool02","المتوسطة الثانية بأملج","#كورونا
عرض توعوي عن فايروس كورونا نفذته 
المرشدة الصحية أ/ فاطمه المرواني 
المساعد الإداري .سعاده السهيف @jf_moe
@tabuk_edu 
@moe_gov_sa 
@Umlij1450 
@oihm1
@nawalsanyourاpic.twitter.com/1tX0knAj2Q","5","7","15","1581324814000","12:53 AM - 10 Feb 2020","/SecondSchool02/status/1226791304778133505"
"1583860419-6204","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@directordcf","Director's Note","@moe_gov_sa Complaint4: Sanabel Al Noor International Indian School, Najran, Saudi Arabia (License No. – 2822-520); The Principal (Mr. Anuj) is not fit for the post of Principal , as he does not have appropriate qualifications as per the norms of CBSE curriculum New Delhi, India.","","","","1577922433000","3:47 PM - 1 Jan 2020","/directordcf/status/1212520684338987009"
"1583860419-5677","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@Abegsorg","مكتب التربية","بالتعاون مع #وزارة_التعليم في المملكة العربية السعودية @moe_gov_sa يقيم #مكتب_التربية_العربي_لدول_الخليج @Abegsorg دورة تدريبية في التطوير المهني في نموذج المدرسة المتعلِّمة، في الفترة من 17 - 19 فبراير 2020م بمقر الوزارة بالرياض.pic.twitter.com/UfwRHrhau7","7","30","38","1581863926000","6:38 AM - 16 Feb 2020","/Abegsorg/status/1229052505079865344"
"1583860419-5828","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@HamadAlateq","حمد العتيق","ا #للنخبة و #إلى_من_يهمه_الأمر وإخواني الغيورين على دينهم وبلادهم: إن وجود مشكلة بيننا وبين ""إمام"" المسجد أو بعض ""جيراننا"" جماعة المسجد لا يعطينا الحق في ترك الصلاة، لأن الصلاة واجبة لله لا لهم، وهكذا واجبنا تجاه #القدس و #الأقصى و #فلسطين واجب نؤديه لله، مهما أساء البعض أو تجاوزpic.twitter.com/nrzl8E3m21","8","65","62","1581134976000","8:09 PM - 7 Feb 2020","/HamadAlateq/status/1225995068106006529"
"1583860419-5942","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","انطلق في الرياض اليوم البرنامج التأهيلي الثاني للطلبة السعوديين المتأهلين للمشاركة في ⁧#معرض_تايوان_الدولي_للعلوم⁩ اليوم والمزمع عقده في مدينة تايبيه في الفترة من ٣-٧ فبراير، الذي تشارك فيه #وزارة_التعليم هذا العام للمرة الرابعة.pic.twitter.com/moqy7KsgOP","21","224","176","1580327729000","11:55 AM - 29 Jan 2020","/moe_gov_sa/status/1222609226314461184"
"1583860419-5526","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@guriatedu_gov","إدارة تعليم القريات","تنويه: #تعليم_القريات يُعلن عن بدء الدوام في جميع مدارس محافظة #القريات والقرى التابعة لها بدايةً من يوم الأحد الموافق  ٦ / ٧ / ١٤٤١ هـ 
علماً أن الاصطفاف الصباحي سيكون عند الساعة 7:45 دقيقة
وبداية الحصة الأولى
عند الساعة 8:00 صباحاً.
@moe_gov_sa @Media_M_E  @DR_M_Althobaitpic.twitter.com/KRWBvVKFMq","11","46","27","1582710764000","1:52 AM - 26 Feb 2020","/guriatedu_gov/status/1232604401799454720"
"1583860419-6066","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@dkhilscho_1","مدرسة عبدالرحمن الداخل بسدوان","#الانضباط_المدرسي 
 #بداية_الفصل_الثاني 
@Media_M_E 
@namasedu 
@moe_gov_sa 
سعدنا وتشرفنا صباح اليوم بزيارة سعادة مدير التعليم الأستاذ عمر بن هجاد الغامدي.
يتابع..... pic.twitter.com/AnsHbmd8uj","1","3","11","1579498995000","9:43 PM - 19 Jan 2020","/dkhilscho_1/status/1219133265174564865"
"1583860419-5660","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@IV1VI","عبدالله بن حمدان العنزي","زيارة لجنة التحكيم
لـ  #جائزة_حمدان_بن_راشد
للأداء التعليمي المتميز والتي تزور #ثانوية_الملك_سعود كممثل وحيد لمدارس #السعودية
نتمنى لقائدهاوكافةمنسوبيها التوفيق والحصول على المركز الاول

@kingsarar1 @minister_moe_sa 
@NorthborderSA #التعليم
@northedu @moe_gov_sa 
 #اخذها_بصراحهpic.twitter.com/O2sJIKpqfJ","","157","6","1581948651000","6:10 AM - 17 Feb 2020","/IV1VI/status/1229407868786442240"
"1583860419-5534","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@Yso_36","يُس الشمري  🦄","ولي الأمر سهله يعلق المشكله المعلمين و المعلمات الي وراهم سفر لقرى يمسك خط عشان توقيع و يرجع","4","13","7","1582666193000","1:29 PM - 25 Feb 2020","/Yso_36/status/1232417454544105472"
"1583860419-6041","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزير_التعليم يرعى الملتقى الإقليمي حول التربية على المواطنة والقيم الإنسانية المشتركة.. غداً
https://www.moe.gov.sa/ar/news/Pages/mt-2020-254.aspx …pic.twitter.com/DlBOGQHpX3","35","615","397","1579607966000","3:59 AM - 21 Jan 2020","/moe_gov_sa/status/1219590323711741952"
"1583860419-5624","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@C3v0SgCukLp4x2G","الابتدائية ١٣ لتحفيظ القرآن","May Allah bless you . Go ahead and we are with you 
Good luck
@moe_gov_sa 
@riyadh_edu @ertqariyadh 
@minister_moe_sa @shefanet2013 
#الملف__الإعلامي_بوزارة_التعليم","","","","1582123158000","6:39 AM - 19 Feb 2020","/C3v0SgCukLp4x2G/status/1230139802361769985"
"1583860419-5499","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@sabyaedu","إدارة تعليم صبيا","بيان |

متحدث #تعليم_صبيا :

حادثة شجار الطلاب محل متابعة #الإدارة ، ومدير #التعليم وجه بتشكيل لجنة عاجلة للوقوف على المشكلة واتخاذ كافة الإجراءات اللازمة ، فيما باشرت اللجنة برئاسة المساعد للشؤون التعليمية مهامها صباح اليوم، ولا إصابات بين الطلاب.. 

@moe_gov_sa pic.twitter.com/UMHid58R2Z","35","102","139","1582806598000","4:29 AM - 27 Feb 2020","/sabyaedu/status/1233006357739134977"
"1583860419-6146","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزير_التعليم يلتقي سفير كوسوفا ويبحث معه مجالات التعاون بين جامعات البلدين وبرامج اللغة العربية
https://www.moe.gov.sa/ar/news/Pages/tr643.aspx …pic.twitter.com/jTw37MN8pN","20","284","202","1578931677000","8:07 AM - 13 Jan 2020","/moe_gov_sa/status/1216753761689001985"
"1583860419-5552","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@fll_saudi","FIRST -Saudi","نتائج الأولمبياد الوطني للروبوت ٢٠٢٠ الفيرست ليجو
Final results FLL 2020
المقام بمدينة الليث لؤلؤة البحر الأحمر
@allith_edu
#G20 #FLLSAUDI

@moe_gov_sa
@minister_moe_sa
@MSAlmoqbel 
@TAHAKOOM
@BESTEAMSA
 @firstlegoleague
@LEGO_Group @LEGOEDUCATION
@tomjhallpic.twitter.com/tzGOuzW60L","2","13","14","1582630092000","3:28 AM - 25 Feb 2020","/fll_saudi/status/1232266037971869697"
"1583860419-5969","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@namasedu","إدارة تعليم النماص","تنفيذاً لتوجيهات سمو #أمير_منطقة_عسير  بإشراك المجتمع في وضع خطة تصميم لمطار أبها الجديد.
طلاب وطالبات #تعليم_النماص يبدعون في الرسم وخلق الأفكار من خلال التربية الفنية وسعادة مدير التعليم أ.عمر بن هجاد الغامدي يدعم أبناءه الطلاب في الورش المقامة لذلك.
@moe_gov_sa
@Media_M_Epic.twitter.com/oeIT6vIC8h","2","25","28","1580122481000","2:54 AM - 27 Jan 2020","/namasedu/status/1221748353362513920"
"1583860419-5944","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#يحدث_الآن:
بحضور معالي #وزير_التعليم د.حمد بن محمد آل الشيخ، يبدأ الآن حفل تسليم جائزة الملك عبدالله بن عبدالعزيز العالمية للترجمة في دورتها التاسعة بمكتبة الملك عبدالعزيز العامة.pic.twitter.com/runIry6U3X","21","363","229","1580317089000","8:58 AM - 29 Jan 2020","/moe_gov_sa/status/1222564598760529923"
"1583860419-5813","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@nashatsabya1","النشاط الطلابي صبيا","#التعداد_السكاني
@moe_gov_sa @Media_M_E  
#الملف_الإعلامي_بوزارة_التعليم 
غدا الاحد ١٥ / ٦ / ١٤٤١ تنطلق الحملة التثقيفية بتعداد السعودية2020 في مدارس تعليم صبيا 
ومع سفراء التعداد السعودي2020 في مكاتب التعليم وذلك لتنفيذ الخطة التوعوية بمشروع التعداد السعودي للسكان والمساكن 2020pic.twitter.com/j4VQpdzukp","1","7","14","1581191218000","11:46 AM - 8 Feb 2020","/nashatsabya1/status/1226230962243219456"
"1583860419-5492","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@salmanalmalky2","﮼سلمان","ماشاء الله بأي حق يتم اخفاء أو عدم اعتماد ورقة الدوام؟
من أعطاك هذه السلطة ؟
تراك مدير مكتب إلى الآن ولم تصل للرغبة التي تبحث عنها
@minister_moe_sa 

#معلمو_الحدالجنوبي_وظلم_البصمه@moe_gov_sa  @aldayeredu @aldayeredu @sabyaedu @mufarhalmalkipic.twitter.com/jEimcx57os","1","9","2","1582909281000","9:01 AM - 28 Feb 2020","/salmanalmalky2/status/1233437040383004678"
"1583860419-5600","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@e3lam_alula","إدارة تعليم العلا","اختتمت الروضة الثانية يوم الخميس ١٤٤١/٦/٢٦هـ أسبوع شراكات مثمرة لتعليم هادف بحلقة نقاش مع الأمهات عن أهمية العلاقة والمشاركة بين الروضة والأسرة بحضورمديرة وحدة إرتقاء أ.ناجية الصبحي, وإعدادرائدة الشراكة أ.مريم البلوي،وقد تخلل النقاش كلمة مديرة الوحده عن ماهية الشراكة
@moe_gov_sa pic.twitter.com/HuI9Z2sl1P","","18","12","1582226539000","11:22 AM - 20 Feb 2020","/e3lam_alula/status/1230573413850370048"
"1583860419-6229","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","#تعليم_الشرقية
 #اختبارات_منتصف_العام
#اختبارات_الفصل_الأول
@moe_gov_sa
@Media_M_E pic.twitter.com/CvsPmVKUKIpic.twitter.com/1jinMbOV7h","3","45","30","1577859500000","10:18 PM - 31 Dec 2019","/edueast_sa/status/1212256725585350656"
"1583860419-5833","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@hashem883","هاشم بن حسن الشريف","#يحدث_في_المواهب
بعون الله تعالى سيتم تطبيق ""مشروع إتقان الإملاء من الألف إلى الياء"" في القسم الابتدائي بمجمع مواهب الخليج التعليمي بتنفيذ كادر أكاديمي ذو كفاءة ""أبناء المواهب نعدكم بكل مفيد يطور من مستواكم العلمي"" #الطالب_أولاً
@moe_gov_sa @Jr999mj @minister_moe_sa @qeran21pic.twitter.com/gsTkihQh2x","16","35","44","1581066349000","1:05 AM - 7 Feb 2020","/hashem883/status/1225707225366384640"
"1583860419-5515","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-01-01%20until%3A2020-02-29&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#فيديو |
خبراء دوليون وزوار يشيدون بمستوى المبادرات التعليمية المقدمة في جناح #وزارة_التعليم في معرض #GESSDubai.pic.twitter.com/A3VnXjataH","92","918","582","1582744823000","11:20 AM - 26 Feb 2020","/moe_gov_sa/status/1232747253372203008"
