web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583618356-1221","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@Sul_Scl2030","إبتدائية ومتوسطة الأمير سلطان","عرض كرتوني لطلاب الصفوف الأولية لتعزيز بعض القيم ( الصدق - الأمانة - النزاهة) ضمن فعاليات برنامج #نزاهة في ابتدائية ومتوسطة الأمير سلطان بالنماص .. 
@namasedu 
@n72041
@NamasNashat
@E3lam2030namas
@moe_gov_sa
@Retweet31919227
@EshrafTarbawi
@n72019pic.twitter.com/8pbRwNWFHq","","4","4","1548358206000","11:30 AM - 24 Jan 2019","/Sul_Scl2030/status/1088519329564577792"
"1583618356-892","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","أمانة #جائزة_التعليم_للتميز تصدر دليل الفائزين والفائزات بالجائزة في دورتها التاسعة.
@eduexaward 
https://www.moe.gov.sa/ar/news/Documents/m-o-e-2019.pdf …pic.twitter.com/69gEBgSGuG","92","430","394","1550304862000","12:14 AM - 16 Feb 2019","/moe_gov_sa/status/1096684195349516288"
"1583618356-1339","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@mdlegend4747","Dr. MdSubahi","Eagerly waiting ....","","","2","1547251289000","4:01 PM - 11 Jan 2019","/mdlegend4747/status/1083876583792889856"
"1583618356-1130","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@TatweerTC","تطوير النقل التعليمي","#يحدث_الآن
انطلاق ورشة عمل تطوير وتشريعات السلامة في #النقل_المدرسي والتي تنظمها الإدارة العامة للأمن والسلامة بوزارة التعليم برعاية معالي نائب وزير التعليم.
@moe_gov_sa pic.twitter.com/WK7Mej5SGg","3","27","18","1548656575000","10:22 PM - 27 Jan 2019","/TatweerTC/status/1089770779938557954"
"1583618356-1041","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","للتعرف على أبرز المستجدات والتجارب العالمية الحديثة..
#وزارة_التعليم تعقد الندوة الدولية لبناء مناهج الدراسات الاجتماعية
https://www.moe.gov.sa/ar/news/Pages/m-d-5687.aspx …pic.twitter.com/zCeX75dTeR","30","152","132","1549299387000","8:56 AM - 4 Feb 2019","/moe_gov_sa/status/1092466929015681025"
"1583618356-824","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@RashidAlsagrai","رشيد الصقري","إدراج اللغة الصينية خطوة صحيحة فالأمم تزدهر ثقافيا وإقتصاديا وعسكريا حينما تتعرف على لغات وثقافات أخرى ولنا دليل في إزدهار الثقافة العربية الإسلامية  في زمن الأمويين والعباسيين حينما اطلعت على الثقافة الفارسية و اليونانية والهندية .","8","13","16","1550854620000","","/RashidAlsagrai/status/1098990050304581632"
"1583618356-766","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@godsschool40","ثانوية القدس بالمدينة المنورة","ضمن  #البرنامج_التدريبي_السناره والمقام بساعة النشاط بـ #ثانوية_القدس_بالمدينة  اقيمت دورة  خاماتنا البيئية لوحات فنية قدمها الاستاذ والمدرب : حبيب الخضيري لاقت تفاعل كبير من الطلاب  
@madinaedu @moe_gov_sa pic.twitter.com/mzDoaKNMDd","1","6","7","1551261040000","1:50 AM - 27 Feb 2019","/godsschool40/status/1100694695687143426"
"1583618356-1378","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","وكيل #وزارة_التعليم للتعليم الموازي تزور جناح الوزارة في #الجنادرية_33.. وتطلع على الأنشطة والبرامج المقدمة.
#التعليم_في_الجنادريةpic.twitter.com/oAZnTPsQA1","31","132","115","1546968557000","9:29 AM - 8 Jan 2019","/moe_gov_sa/status/1082690718878089217"
"1583618356-1096","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@ba_alsaleh","بدر عبدالله الصالح","تمثل دراسة وتحليل أسباب إخفاقات إصلاحات التعليم السعودي السابقة خطوة أولى لوضع نموذج إصلاح يحقق مستوى جودة ينقل تعليمنا إلى مستوى الدول المتقدمة، ولهذا فإن أول سؤال هو:"" ما هي أسباب إخفاقات محاولات إصلاح التعليم السابقة""؟   @moe_gov_sa","30","20","26","1548870716000","9:51 AM - 30 Jan 2019","/ba_alsaleh/status/1090668953297276928"
"1583618356-1097","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@school1abq","المتوسطة الأولى بقيق عضوية الملف الإعلامي ٤١٩٨","تأهلت طالبتان من المتوسطةالأولى في التصفيات النهائيةلمسابقة #وزارة_التعليم للقرآن الكريم وجائزة الأميرنايف للسنةالنبوية على مستوى مكتب تعليم بقيق تهنئةقلبية من قائدة المدرسة لحفظة كتاب الله شهد مجرشي ورافال بخاري #الملف_الإعلامي_بوزارة_التعليم @eduabgaig @moe_gov_sa @mm4ab2012pic.twitter.com/A8uwZ5eKKY","","7","7","1548861851000","7:24 AM - 30 Jan 2019","/school1abq/status/1090631770897375235"
"1583618356-1297","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@6xRtXI4EqJznfSD","الابتدائية الحادي عشر لتعليم الكبار (بنات) بتبوك","@najlaa_alshaman @oihm1 @moe_gov_sa @Media_M_E  تم بفضل الله الانتهاء من تفعيل اليوم العربي لمحو الامية كان يوم مليء ببهجة الطالبات تحت شعار ضوء العلم يمحو الظلام  ولله الحمد # قائدة المدرسة اريج التيمانيpic.twitter.com/iqDNfXSYWu","","4","5","1547418975000","2:36 PM - 13 Jan 2019","/6xRtXI4EqJznfSD/status/1084579910985883648"
"1583618356-1005","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","وكيل #وزارة_التعليم للشؤون المدرسية يرأس اجتماع اللجنة التنفيذية للشراكة مع #هيئة_الغذاء_والدواء بمشاركة إدارة الشؤون الصحية والإدارة العامة لخدمات الطلاب.pic.twitter.com/Lean21U6iW","58","198","205","1549525540000","11:45 PM - 6 Feb 2019","/moe_gov_sa/status/1093415482886156288"
"1583618356-1314","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@Abegsorg","مكتب التربية","هل تريد مدرسةً ذات نتائج مرموقة؟
و يكون الحضور فيها مرتفعاً ، والتواصل سهلاً مستمراً ، والإحساس بالانتماء عميقاً ، والاعتزاز بالمجموعة واضحاً.
من إصدارنا : القيادة الناجحة في التعليم- دليل عملي للإداريين والمعلمين - نيلا أ. كونرز .
#مكتب_التربية_العربي_لدول_الخليج
@moe_gov_sa pic.twitter.com/nPxumyCTvs","","28","40","1547350018000","7:26 PM - 12 Jan 2019","/Abegsorg/status/1084290683589005312"
"1583618356-1230","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@fahadalthayidi","Fahad Althayidi  ⭐️ فهد الذايدي","2-2 وتساعد في حل مشكلتهم في فهم الخطابات أو المواضيع المطروحة.  @Turki_alalshikh @fayez_malki @salahalghaydan @moe_gov_sa @media_ksa @DeafEducation1 @EyesListenGCC #وزارة_التعليم #الصم","3","62","34","1548294135000","5:42 PM - 23 Jan 2019","/fahadalthayidi/status/1088250596673667072"
"1583618356-797","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@MhmoudHzazi","محمود هزازي، MH  🇸🇦 🇸🇦","#انصفوا_خريجي_الانتساب
لازال الأمل موجود، كل ما نتمناه أن يتم إيجاد  حلول وتصحيح لوضع خريجي وخريجات الإنتساب، فالايام تمضي سريعاً وأعداد خريجي الانتظام في ازدياد، فليس كل منتسب/ة على رأس العمل، فالبعض منهم لايزال باحث عن عمل.
@moe_gov_sa 
@Ghada_AlAli 
@Qa_Ibrahim 
@dr_alkhrashi","7","83","34","1551088995000","2:03 AM - 25 Feb 2019","/MhmoudHzazi/status/1099973089604108288"
"1583618356-1293","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@school_arar31","الابتدائية  31","#تعليم_الحدود_الشمالية
تتقدم أسرة الابتدائية الحادية والثلاثون بأحر التعازي والمواساة لأسرة الفقيدة الطالبة ايه عايد العنزي  راجين من الله العلي القدير أن يتغمدها بواسع رحمته وأن يلهم ذويها الصبر والسلوان.
@north0edu 
@northedu10 
@moe_gov_sa","3","7","7","1547498964000","12:49 PM - 14 Jan 2019","/school_arar31/status/1084915406656204800"
"1583618356-1059","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@ange_404","بدور الغامدي","Leash,,","","","","1549220889000","11:08 AM - 3 Feb 2019","/ange_404/status/1092137683030339584"
"1583618356-1119","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@delo_otaibi","أ.تغريد العتيبي 🇸🇦","مؤهلات تربويا وتعليميا للخوض في الميدان التعليمي ..ولكن تجاهلتنا وزاره التعليم

انصفونا 

#ولي_العهد
#محمد_بن_سلمان
#تنفيذ_توصيه_كليات_التربيه٥٩٠

@KingSalman

@Badermasaker

@minister_moe_sa

@sattam_al_saud

@Turki_alalshikh

@RoyalCourtSA 

@moe_gov_sa","1","82","25","1548705016000","11:50 AM - 28 Jan 2019","/delo_otaibi/status/1089973957476974592"
"1583618356-812","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@excellenceofmak","🕋 مركز التميز  🕋","#ادراج_اللغه_الصينيه_في_المناهج
#ولي_العهد_في_الصين 
#جائزة_التعليم_للتميز 
مركز التميز بـ #تعليم_مكة 
@eduexaward @moe_gov_sa pic.twitter.com/00g10JxgzY","1","17","21","1550919741000","3:02 AM - 23 Feb 2019","/excellenceofmak/status/1099263184857456641"
"1583618356-1169","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@manjal6767","مدرسة ابتدائية وادي منجل للبنات","@Media_M_E
#TIMSS_KSA
الاختبارات الدولية تحديات 
وطموحات )سائلين الله 
التوفيق لابنائنا وبناتنا..
طلابنا وطالباتنا نحو المستقبل بتألق نحن معكم على الطريق نحو العُلاpic.twitter.com/aOdWlwKFIy","","2","7","1548541844000","2:30 PM - 26 Jan 2019","/manjal6767/status/1089289564001320960"
"1583618356-851","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@alma3du","تعليم رجال ألمع","#تعليم_ألمع يحقق المركز الأول في إنجاز رفع راتب الشهر الثاني لعام٢٠١٩م..
ومدير التعليم يشكر مدير الشؤون الإدارية والمالية وفرق عمله التي كانت خلف هذا المنجز.
@moe_gov_sa pic.twitter.com/5HyfLOBCZJ","6","13","35","1550566686000","12:58 AM - 19 Feb 2019","/alma3du/status/1097782366905479168"
"1583618356-1318","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@IshrafWasat","مكتب التعليم وسَط الرياض_بنات","#التطلعات_المستقبلية_للتعليم
جهود مباركة و موفقة للإنطلاقة نحو تحقيق رؤية 2030 ..
@moe_gov_sa @YYehyag @jf16652313 @riyadh_edupic.twitter.com/UvdWlbKNTR","","13","8","1547315489000","9:51 AM - 12 Jan 2019","/IshrafWasat/status/1084145858357198848"
"1583618356-1432","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@iLOapDwQfMYa8Kx","قاسم غريب","https://twitter.com/aljnop_2/status/1071587873948880896 …
npUc8","","","","1546529591000","7:33 AM - 3 Jan 2019","/iLOapDwQfMYa8Kx/status/1080849563324432384"
"1583618356-1121","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@wafa6660y","salwa","#ولي_العهد⁩
⁧#محمد_بن_سلمان⁩
⁧#تنفيذ_توصيه_كليات_التربيه٥٩٠⁩
فقط حصر وتوظيف أسوة بالكليات المتوسطه والمعاهد وكليات المعلمين 
⠀
⁦@KingSalman⁩
⁦@Badermasaker⁩
⁦@minister_moe_sa⁩
⁦@sattam_al_saud
⁦@moe_gov_sa","","56","11","1548701433000","10:50 AM - 28 Jan 2019","/wafa6660y/status/1089958926710378497"
"1583618356-1190","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@ershad_taif","إدارةالتوجيه والإرشاد(بنين)بتعليم الطائف","فعاليات الاسبوع #التوعوي الوقائي المكثف لبرنامج (#رفق لخفض العنف بين طلاب مدارس التعليم العام ) طيلة الاسبوع الرابع من الفصل الثاني  الأحد 21 / 5 / 1440 هـ
@alluhibi
@fahhad12
@gc_gov_sa
@y7y_moe_gov_sa
@TaifEduGov
@taifeduaff
@HamadMAlSheikh 
@moe_gov_sa pic.twitter.com/qlocx5Tto3","1","5","2","1548523301000","9:21 AM - 26 Jan 2019","/ershad_taif/status/1089211788372131840"
